,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,,44,45,46,47,48,49,50,51,52,53,54,55,56,57,,,,,,,,,,,,
No.,TYPE,AISC_MANUAL_LABEL,EDI_STD_NOMENCLATURE,Perfil Base-1,Perfil Base-2,IMCA-01,IMCA-02,AHMSA,Disp.,No.,T_F,BF_2TF,B_T,H_TW,H_T,D_T,H,TAN_ALPHA,QS,D,HT,OD,BF,B,ID,TW,TF,T,TNOM,TDES,KDES,KDET,K1,X,Y,E0,XP,YP,RX,RY,RZ,RO,A,Aw,WNO,ZX,SX,ZY,SY,C,QF,QW,IX,IY,J,SW,CW,W,Disp. 01,Disp. 02,Disp. 03,Disp. 04,Disp. 05,Disp. 06,Cntc 01,Cntc 02,Cntc 03,Cntc 04,Cntc 05,Cntc 06
1,W,W44X335,W44X335,,,,,,"(,,,,,)",1,F,4.50,0.00,38.0,0.00,0.00,0.00,0.00,0.00,44.0,0,0,15.9,0,0,1.03,1.77,0,0,0.00,2.56,2.625,1.3125,0.00,0.00,0.00,0.00,0.00,17.8,3.49,0.00,0.00,98.5,45.3,168,1620,1410,236,150,0.00,278,805,31100,1200,74.7,1180,535000,335,,,,,,,"(,","(,,","(,,,","(,,,,","(,,,,,","(,,,,,)"
2,W,W44X290,W44X290,,,,,,"(,,,,,)",2,F,5.02,0.00,45.0,0.00,0.00,0.00,0.00,0.00,43.6,0,0,15.8,0,0,0.865,1.58,0,0,0.00,2.36,2.4375,1.25,0.00,0.00,0.00,0.00,0.00,17.8,3.49,0.00,0.00,85.4,37.7,166,1410,1240,205,132,0.00,248,701,27000,1040,50.9,1040,461000,290,,,,,,,"(,","(,,","(,,,","(,,,,","(,,,,,","(,,,,,)"
3,W,W44X262,W44X262,,,,,,"(,,,,,)",3,F,5.57,0.00,49.6,0.00,0.00,0.00,0.00,0.00,43.3,0,0,15.8,0,0,0.785,1.42,0,0,0.00,2.20,2.25,1.1875,0.00,0.00,0.00,0.00,0.00,17.7,3.47,0.00,0.00,76.9,34.0,165,1270,1110,182,117,0.00,223,630,24100,923,37.3,928,405000,262,,,,,,,"(,","(,,","(,,,","(,,,,","(,,,,,","(,,,,,)"
4,W,W44X230,W44X230,,,,,,"(,,,,,)",4,F,6.45,0.00,54.8,0.00,0.00,0.00,0.00,0.00,42.9,0,0,15.8,0,0,0.710,1.22,0,0,0.00,2.01,2.0625,1.1875,0.00,0.00,0.00,0.00,0.00,17.5,3.43,0.00,0.00,67.7,30.5,165,1100,971,157,101,0.00,192,547,20800,796,24.9,793,346000,230,,,,,,,"(,","(,,","(,,,","(,,,,","(,,,,,","(,,,,,)"
5,W,W40X593,W40X593,,,,,,"(,,,,,)",5,T,2.58,0.00,19.1,0.00,0.00,0.00,0.00,0.00,43.0,0,0,16.7,0,0,1.79,3.23,0,0,0.00,4.41,4.5,2.125,0.00,0.00,0.00,0.00,0.00,17.0,3.80,0.00,0.00,174,77.0,166,2760,2340,481,302,0.00,479,1370,50400,2520,445,2240,997000,593,,,,,,,"(,","(,,","(,,,","(,,,,","(,,,,,","(,,,,,)"
6,W,W40X503,W40X503,,,,,,"(,,,,,)",6,T,2.98,0.00,22.3,0.00,0.00,0.00,0.00,0.00,42.1,0,0,16.4,0,0,1.54,2.76,0,0,0.00,3.94,4,2,0.00,0.00,0.00,0.00,0.00,16.8,3.72,0.00,0.00,148,64.8,161,2320,1980,394,249,0.00,403,1150,41600,2040,277,1830,789000,503,,,,,,,"(,","(,,","(,,,","(,,,,","(,,,,,","(,,,,,)"
7,W,W40X431,W40X431,,,,,IPR40X16X431,"(,,Vllcro,,,)",7,T,3.44,0.00,25.5,0.00,0.00,0.00,0.00,0.00,41.3,0,0,16.2,0,0,1.34,2.36,0,0,0.00,3.54,3.625,1.875,0.00,0.00,0.00,0.00,0.00,16.6,3.65,0.00,0.00,127,55.3,158,1960,1690,328,208,0.00,341,969,34800,1690,177,1510,638000,431,,,Vllcro,,,,"(,","(,,","(,,Vllcro,","(,,Vllcro,,","(,,Vllcro,,,","(,,Vllcro,,,)"
8,W,W40X397,W40X397,,,,,IPR40X16X397,"(,,Vllcro,,,)",8,T,3.66,0.00,28.0,0.00,0.00,0.00,0.00,0.00,41.0,0,0,16.1,0,0,1.22,2.20,0,0,0.00,3.38,3.5,1.8125,0.00,0.00,0.00,0.00,0.00,16.6,3.64,0.00,0.00,117,50.0,156,1800,1560,300,191,0.00,318,891,32000,1540,142,1380,579000,397,,,Vllcro,,,,"(,","(,,","(,,Vllcro,","(,,Vllcro,,","(,,Vllcro,,,","(,,Vllcro,,,)"
9,W,W40X372,W40X372,,,,,IPR40X16X372,"(,,Vllcro,,,)",9,T,3.93,0.00,29.5,0.00,0.00,0.00,0.00,0.00,40.6,0,0,16.1,0,0,1.16,2.05,0,0,0.00,3.23,3.3125,1.8125,0.00,0.00,0.00,0.00,0.00,16.5,3.60,0.00,0.00,109,47.1,155,1680,1460,277,177,0.00,295,829,29600,1420,116,1280,528000,372,,,Vllcro,,,,"(,","(,,","(,,Vllcro,","(,,Vllcro,,","(,,Vllcro,,,","(,,Vllcro,,,)"
